Size,ArrayType,Algorithm,TimeUs,Comparisons
1300,Reversed,Std_MergeSort,1095.82,10290
1300,Reversed,Ternary_QS,391.033,11061
1300,Reversed,LCP_MergeSort,1097.99,4721
1300,Reversed,MSD_Radix,583.983,3134
1300,Reversed,MSD_Hybrid,332.517,6075
1300,NearlySorted,Std_QuickSort,800.975,17689
1300,NearlySorted,Std_MergeSort,1259.13,15233
1300,NearlySorted,Ternary_QS,392.667,11463
1300,NearlySorted,LCP_MergeSort,1147.39,5661
1300,NearlySorted,MSD_Radix,616.692,3128
1300,NearlySorted,MSD_Hybrid,339.775,6146
1300,Prefixed,Std_QuickSort,5676.95,417362
1300,Prefixed,Std_MergeSort,5219.07,335395
1300,Prefixed,Ternary_QS,917.692,47918
1300,Prefixed,LCP_MergeSort,1914.07,45790
1300,Prefixed,MSD_Radix,687.967,9100
1300,Prefixed,MSD_Hybrid,687.383,9100
1400,Random,Std_QuickSort,1081.45,20417
1400,Random,Std_MergeSort,1640.08,17626
1400,Random,Ternary_QS,529.75,13543
1400,Random,LCP_MergeSort,1651.19,11685
1400,Random,MSD_Radix,526.117,3108
1400,Random,MSD_Hybrid,351.725,6173
1400,Reversed,Std_QuickSort,887.167,18900
1400,Reversed,Std_MergeSort,1184.37,11245
1400,Reversed,Ternary_QS,409.683,11953
1400,Reversed,LCP_MergeSort,1179.35,5181
1400,Reversed,MSD_Radix,643.833,3366
1400,Reversed,MSD_Hybrid,368.534,6568
1400,NearlySorted,Std_QuickSort,862.867,19066
1400,NearlySorted,Std_MergeSort,1429.37,16553
1400,NearlySorted,Ternary_QS,443.3,12235
1400,NearlySorted,LCP_MergeSort,1222.93,6087
1400,NearlySorted,MSD_Radix,657.858,3371
1400,NearlySorted,MSD_Hybrid,357.783,6612
1400,Prefixed,Std_QuickSort,6112.38,442500
1400,Prefixed,Std_MergeSort,5744.63,365107
1400,Prefixed,Ternary_QS,993.583,50806
1400,Prefixed,LCP_MergeSort,2082.84,49445
1400,Prefixed,MSD_Radix,750.925,9800
1400,Prefixed,MSD_Hybrid,762.7,9800
1500,Random,Std_QuickSort,1194.16,23169
1500,Random,Std_MergeSort,1743.69,19172
1500,Random,Ternary_QS,633.85,16763
1500,Random,LCP_MergeSort,1738.73,12593
1500,Random,MSD_Radix,581.392,3345
1500,Random,MSD_Hybrid,382.675,6738
1500,Reversed,Std_QuickSort,948.292,20555
1500,Reversed,Std_MergeSort,1292.27,12056
1500,Reversed,Ternary_QS,470.917,13158
1500,Reversed,LCP_MergeSort,1289.57,5455
1500,Reversed,MSD_Radix,683.325,3614
1500,Reversed,MSD_Hybrid,378.208,7059
1500,NearlySorted,Std_QuickSort,948.567,21142
1500,NearlySorted,Std_MergeSort,1508.53,17796
1500,NearlySorted,Ternary_QS,469.867,13642
1500,NearlySorted,LCP_MergeSort,1344.87,6467
1500,NearlySorted,MSD_Radix,711.933,3610
1500,NearlySorted,MSD_Hybrid,395.959,7105
1500,Prefixed,Std_QuickSort,6816.37,507434
1500,Prefixed,Std_MergeSort,6203.76,395012
1500,Prefixed,Ternary_QS,1027.23,54811
1500,Prefixed,LCP_MergeSort,2240.7,53095
1500,Prefixed,MSD_Radix,842.158,10500
1500,Prefixed,MSD_Hybrid,838.092,10500
1600,Random,Std_QuickSort,1269.17,23669
1600,Random,Std_MergeSort,1837.04,20778
1600,Random,Ternary_QS,618.4,16148
1600,Random,LCP_MergeSort,1904.86,13606
1600,Random,MSD_Radix,664.784,3623
1600,Random,MSD_Hybrid,425.891,7318
1600,Reversed,Std_QuickSort,992.925,22077
1600,Reversed,Std_MergeSort,1376.58,13062
1600,Reversed,Ternary_QS,496.575,14089
1600,Reversed,LCP_MergeSort,1371.64,5918
1600,Reversed,MSD_Radix,752.083,3859
1600,Reversed,MSD_Hybrid,425,7516
1600,NearlySorted,Std_QuickSort,1060.62,22638
1600,NearlySorted,Std_MergeSort,1598.15,18917
1600,NearlySorted,Ternary_QS,509.1,14648
1600,NearlySorted,LCP_MergeSort,1430.17,6923
1600,NearlySorted,MSD_Radix,738.242,3848
1600,NearlySorted,MSD_Hybrid,416.025,7604
1600,Prefixed,Std_QuickSort,7593.37,560063
1600,Prefixed,Std_MergeSort,6593.41,426106
1600,Prefixed,Ternary_QS,1083.81,58930
1600,Prefixed,LCP_MergeSort,2411.25,56861
1600,Prefixed,MSD_Radix,858.825,11200
1600,Prefixed,MSD_Hybrid,849.075,11200
1700,Random,Std_QuickSort,1360.78,26422
1700,Random,Std_MergeSort,1987.71,22394
1700,Random,Ternary_QS,682.458,17417
1700,Random,LCP_MergeSort,2051.42,14591
1700,Random,MSD_Radix,711.8,3876
1700,Random,MSD_Hybrid,457.842,7985
1700,Reversed,Std_QuickSort,1079.98,23430
1700,Reversed,Std_MergeSort,1470.6,13829
1700,Reversed,Ternary_QS,539.766,15160
1700,Reversed,LCP_MergeSort,1458.57,6160
1700,Reversed,MSD_Radix,789.366,4104
1700,Reversed,MSD_Hybrid,448.192,8002
1700,NearlySorted,Std_QuickSort,1147.37,24816
1700,NearlySorted,Std_MergeSort,1788.67,20267
1700,NearlySorted,Ternary_QS,550.658,15307
1700,NearlySorted,LCP_MergeSort,1519.04,7348
1700,NearlySorted,MSD_Radix,794.85,4094
1700,NearlySorted,MSD_Hybrid,445.058,8108
1700,Prefixed,Std_QuickSort,7321.63,536805
1700,Prefixed,Std_MergeSort,7058.97,456671
1700,Prefixed,Ternary_QS,1235.15,64362
1700,Prefixed,LCP_MergeSort,2545.88,60532
1700,Prefixed,MSD_Radix,909.692,11900
1700,Prefixed,MSD_Hybrid,914.433,11900
1800,Random,Std_QuickSort,1449.77,27451
1800,Random,Std_MergeSort,2111.25,23963
1800,Random,Ternary_QS,684.483,18518
1800,Random,LCP_MergeSort,2170.44,15568
1800,Random,MSD_Radix,731.817,4126
1800,Random,MSD_Hybrid,487.508,8754
1800,Reversed,Std_QuickSort,1150.12,24836
1800,Reversed,Std_MergeSort,1567.46,14967
1800,Reversed,Ternary_QS,572.834,16014
1800,Reversed,LCP_MergeSort,1576.03,6673
1800,Reversed,MSD_Radix,833.342,4357
1800,Reversed,MSD_Hybrid,464.075,8484
1800,NearlySorted,Std_QuickSort,1230.34,26761
1800,NearlySorted,Std_MergeSort,1838.58,21452
1800,NearlySorted,Ternary_QS,579.475,16364
1800,NearlySorted,LCP_MergeSort,1641.88,7777
1800,NearlySorted,MSD_Radix,830.467,4343
1800,NearlySorted,MSD_Hybrid,467.341,8610
1800,Prefixed,Std_QuickSort,8586.15,643007
1800,Prefixed,Std_MergeSort,7514.76,487249
1800,Prefixed,Ternary_QS,1259.34,67427
1800,Prefixed,LCP_MergeSort,2699.13,64145
1800,Prefixed,MSD_Radix,990.592,12600
1800,Prefixed,MSD_Hybrid,1001.42,12600
1900,Random,Std_QuickSort,1634.24,30905
1900,Random,Std_MergeSort,2253.4,25566
1900,Random,Ternary_QS,756.359,19803
1900,Random,LCP_MergeSort,2293.47,16531
1900,Random,MSD_Radix,801.492,4371
1900,Random,MSD_Hybrid,522.892,9208
1900,Reversed,Std_QuickSort,1244.26,26563
1900,Reversed,Std_MergeSort,1713.11,15937
1900,Reversed,Ternary_QS,592.133,16932
1900,Reversed,LCP_MergeSort,1659.27,7093
1900,Reversed,MSD_Radix,901.517,4603
1900,Reversed,MSD_Hybrid,478.125,8953
1900,NearlySorted,Std_QuickSort,1243.45,27816
1900,NearlySorted,Std_MergeSort,1945.73,22657
1900,NearlySorted,Ternary_QS,597.234,17262
1900,NearlySorted,LCP_MergeSort,1747.79,8228
1900,NearlySorted,MSD_Radix,885.867,4591
1900,NearlySorted,MSD_Hybrid,496.359,9121
1900,Prefixed,Std_QuickSort,9095.99,681378
1900,Prefixed,Std_MergeSort,8108.62,518834
1900,Prefixed,Ternary_QS,1279.04,70503
1900,Prefixed,LCP_MergeSort,2837.74,67877
1900,Prefixed,MSD_Radix,999.317,13300
1900,Prefixed,MSD_Hybrid,1011.39,13300
2000,Random,Std_QuickSort,1835.08,34674
2000,Random,Std_MergeSort,2420.02,27182
2000,Random,Ternary_QS,890.917,23782
2000,Random,LCP_MergeSort,2475.78,17495
2000,Random,MSD_Radix,832.541,4617
2000,Random,MSD_Hybrid,556.675,9940
2000,Reversed,Std_QuickSort,1301.68,28009
2000,Reversed,Std_MergeSort,1816.13,17217
2000,Reversed,Ternary_QS,635.95,17860
