n pattern algo avg_time_micro
51200 random hybrid 6911.6
51300 random merge 7759.8
51300 random hybrid 6905.2
51400 random merge 7846.6
51400 random hybrid 6939.2
51500 random merge 7819.6
51500 random hybrid 6926.8
51600 random merge 7832.2
51600 random hybrid 7013.2
51700 random merge 7816.6
51700 random hybrid 6983.4
51800 random merge 7844.6
51800 random hybrid 6993.6
51900 random merge 8017.8
51900 random hybrid 8089.4
52000 random merge 9334.8
52000 random hybrid 7069.6
52100 random merge 7956.8
52100 random hybrid 6974.8
52200 random merge 7852.2
52200 random hybrid 6947
52300 random merge 7859.2
52300 random hybrid 6909.2
52400 random merge 7907.4
52400 random hybrid 6964
52500 random merge 7871
52500 random hybrid 6966.6
52600 random merge 7966.8
52600 random hybrid 6999.6
52700 random merge 7980.6
52700 random hybrid 7107.6
52800 random merge 7996.8
52800 random hybrid 7080.8
52900 random merge 8060.8
52900 random hybrid 7165.2
53000 random merge 8026
53000 random hybrid 7156.2
53100 random merge 8125.2
53100 random hybrid 7138.2
53200 random merge 8072.2
53200 random hybrid 7169.4
53300 random merge 8149.8
53300 random hybrid 7264
53400 random merge 8258.6
53400 random hybrid 7192.2
53500 random merge 8125.6
53500 random hybrid 7119.8
53600 random merge 8068.4
53600 random hybrid 7281.2
53700 random merge 8208
53700 random hybrid 7263.6
53800 random merge 8227.8
53800 random hybrid 7311.6
53900 random merge 8201
53900 random hybrid 7251.8
54000 random merge 8131.6
54000 random hybrid 7322.4
54100 random merge 8225
54100 random hybrid 7275.4
54200 random merge 8167.2
54200 random hybrid 7358.4
54300 random merge 8265.6
54300 random hybrid 7297.6
54400 random merge 8209.8
54400 random hybrid 7361.6
54500 random merge 8290.4
54500 random hybrid 7326.6
54600 random merge 8234
54600 random hybrid 7406.4
54700 random merge 8235.4
54700 random hybrid 7426.8
54800 random merge 8221.6
54800 random hybrid 7402.8
54900 random merge 8309
54900 random hybrid 7353.6
55000 random merge 8382.6
55000 random hybrid 7375
55100 random merge 8356.6
55100 random hybrid 7423.6
55200 random merge 8412.4
55200 random hybrid 7446.6
55300 random merge 8353.4
55300 random hybrid 7368.2
55400 random merge 8371.4
55400 random hybrid 7427
55500 random merge 8406.2
55500 random hybrid 7409.6
55600 random merge 8398.8
55600 random hybrid 7420.2
55700 random merge 8346.2
55700 random hybrid 7407
55800 random merge 8425.2
55800 random hybrid 7450.2
55900 random merge 8465.8
55900 random hybrid 7517.8
56000 random merge 8504
56000 random hybrid 7544.4
56100 random merge 8510.8
56100 random hybrid 7546.2
56200 random merge 8516.6
56200 random hybrid 7559
56300 random merge 8563
56300 random hybrid 7586.4
56400 random merge 8580.2
