n pattern algo avg_time_micro
49000 random hybrid 6881
49100 random merge 7468.2
49100 random hybrid 6890.8
49200 random merge 7608
49200 random hybrid 6894.6
49300 random merge 7463
49300 random hybrid 6896.4
49400 random merge 7504.6
49400 random hybrid 6907
49500 random merge 7493
49500 random hybrid 6945.2
49600 random merge 7512
49600 random hybrid 6976.8
49700 random merge 7513.4
49700 random hybrid 6896
49800 random merge 7413.2
49800 random hybrid 6937.6
49900 random merge 7498.2
49900 random hybrid 6955.8
50000 random merge 7513.4
50000 random hybrid 6987.2
50100 random merge 7531.2
50100 random hybrid 6948.6
50200 random merge 7591.6
50200 random hybrid 7033.6
50300 random merge 7588.4
50300 random hybrid 7044.4
50400 random merge 7616.4
50400 random hybrid 7045
50500 random merge 7639
50500 random hybrid 6932.6
50600 random merge 7596
50600 random hybrid 7099.6
50700 random merge 7635.6
50700 random hybrid 7105.4
50800 random merge 7681.4
50800 random hybrid 7134.4
50900 random merge 7670.2
50900 random hybrid 7099.2
51000 random merge 7625.8
51000 random hybrid 10936.4
51100 random merge 8458.4
51100 random hybrid 7204.6
51200 random merge 7692.8
51200 random hybrid 7135.2
51300 random merge 7762
51300 random hybrid 7144.2
51400 random merge 7793.8
51400 random hybrid 7147.6
51500 random merge 7815
51500 random hybrid 7123
51600 random merge 7821
51600 random hybrid 7105
51700 random merge 7839.8
51700 random hybrid 7114.8
51800 random merge 7881.2
51800 random hybrid 7059.6
51900 random merge 7857.2
51900 random hybrid 7031.8
52000 random merge 7892.4
52000 random hybrid 6994.4
52100 random merge 7876.8
52100 random hybrid 6958.4
52200 random merge 7903.2
52200 random hybrid 6954.2
52300 random merge 7917
52300 random hybrid 6942
52400 random merge 7935
52400 random hybrid 6959.6
52500 random merge 7964.6
52500 random hybrid 6976
52600 random merge 8001.8
52600 random hybrid 6987.8
52700 random merge 7962.6
52700 random hybrid 6957.2
52800 random merge 7973.8
52800 random hybrid 7015.4
52900 random merge 7974
52900 random hybrid 7042.2
53000 random merge 7999.4
53000 random hybrid 7045
53100 random merge 8005.8
53100 random hybrid 6977.4
53200 random merge 8013.2
53200 random hybrid 7101.6
53300 random merge 8030.4
53300 random hybrid 9640.4
53400 random merge 8135.6
53400 random hybrid 7128.8
53500 random merge 8103.6
53500 random hybrid 7134.2
53600 random merge 8122.6
53600 random hybrid 7149.4
53700 random merge 8352.2
53700 random hybrid 7171.2
53800 random merge 8128.8
53800 random hybrid 7177.2
53900 random merge 8167.2
53900 random hybrid 7173.2
54000 random merge 8165.2
54000 random hybrid 7188.2
54100 random merge 8181.6
54100 random hybrid 7229.4
54200 random merge 8218.4
54200 random hybrid 7266.2
54300 random merge 8248.8
54300 random hybrid 7256.8
54400 random merge 8265.8
54400 random hybrid 7250
54500 random merge 8359
54500 random hybrid 7289.8
54600 random merge 8283.6
54600 random hybrid 7294
54700 random merge 8287
54700 random hybrid 7312.2
54800 random merge 8294.4
54800 random hybrid 7335.8
54900 random merge 8299.2
54900 random hybrid 7313.2
55000 random merge 8351.8
55000 random hybrid 7364
55100 random merge 8356
55100 random hybrid 7371
55200 random merge 8291.6
55200 random hybrid 7376.4
55300 random merge 8399
55300 random hybrid 7382.4
55400 random merge 8389.2
55400 random hybrid 7441.2
55500 random merge 8437.6
55500 random hybrid 7441.6
55600 random merge 8445.8
55600 random hybrid 7453.6
55700 random merge 8478
55700 random hybrid 7465.6
55800 random merge 8482.4
55800 random hybrid 7463.2
55900 random merge 8503.2
55900 random hybrid 7502.2
56000 random merge 8476.2
56000 random hybrid 7431.2
56100 random merge 8472.6
56100 random hybrid 7503
56200 random merge 8377.4
56200 random hybrid 7501.2
56300 random merge 8532.6
56300 random hybrid 7533.4
56400 random merge 8546.6
56400 random hybrid 7544.6
56500 random merge 8573.2
